tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
GO-07908/2020,https://www.omaispositivo.com.br/pesquisa-eleitoral-em-jaupaci-quase-30-pontos-separam-laerte-dourado-de-santo-do-acougue/,JAUPACI,1,P,1,,,LAERTE DOURADO,"59,8",SANTO DO ACOUGUE,"29,74",,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-07695/2020,https://www.omaispositivo.com.br/em-doverlandia-genilva-tem-5231-das-intencoes-de-voto/,DOVERLÂNDIA,1,P,0,,,GENILVA KATIA,"48,2",AMILCAR JUNIOR,"19,23",GASPAR ALVES,"8,71",,,,,,,,,,,,,,,,,,,,,,,,,
GO-09185/2020,https://www.emaisgoias.com.br/diego-lidera-disputa-em-luziania-com-404-das-intencoes-de-voto/,LUZIÂNIA,1,P,0,,,DIEGO SORGATTO,"25,2",EDNA APARECIDA,"6,6",WILDE CAMBAO,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,
GO-09185/2020,https://www.emaisgoias.com.br/diego-lidera-disputa-em-luziania-com-404-das-intencoes-de-voto/,LUZIÂNIA,1,P,1,,,DIEGO SORGATTO,40,EDNA APARECIDA,24,WILDE CAMBAO,"7,8",DUDA LEMOS,"2,2",,,,,,,,,,,,,,,,,,,,,,,
GO-07695/2020,https://www.omaispositivo.com.br/em-doverlandia-genilva-tem-5231-das-intencoes-de-voto/,DOVERLÂNDIA,1,P,1,,,GENILVA KATIA,"52,31",AMILCAR JUNIOR,"19,74",GASPAR ALVES,"9,23",,,,,,,,,,,,,,,,,,,,,,,,,
MA-06409/2020,https://www.domingoscosta.com.br/wp-content/uploads/2020/10/Anajatuba-DataM.pdf,ANAJATUBA,1,P,0,,,HELDER ARAGAO,34,JAMES MENDES,13,LAISE DE DOUTOR NILTON,3,ADRIANO RODRIGUES,1,VALDEMIR,1,ISAC SOARES,1,,,,,,,,,,,,,,,,,,,
MA-06409/2020,https://diegoemir.com/2020/10/helder-aragao-e-danielle-castelo-branco-devem-vencer-a-prefeitura-de-anajatuba-com-58-dos-votos-aponta-pesquisa/,ANAJATUBA,1,P,1,,,HELDER ARAGAO,58,JAMES MENDES,20,LAISE DE DOUTOR NILTON,6,VALDEMIR VIANA,2,ADRIANO RODRIGUES,1,,,,,,,,,,,,,,,,,,,,,
MA-07406/2020,https://www.zecasoares.com/2020/10/09/edvan-brandao-lidera-em-bacabal-com-61-diz-escutec/,BACABAL,1,P,1,,,EDIVALDO BRANDAO,61,EXPEDITO JUNIOR,20,BENTO VIEIRA,2,JANSEN PENHA,1,LEYNHA OLIVEIRA,1,BARTOLOMEU SANTOS,1,LINALDO ALBINO,1,,,,,,,,,,,,,,,,,
MA-02113/2020,https://www.northendfishma.com/,CANTANHEDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-08101/2020,https://oprogressonet.com/noticia/1692/pesquisa-reafirma-lideranca-e-aponta-crescimento-de-vilson-soares-em-joao-lisboa,JOÃO LISBOA,1,P,0,,,VILSON SOARES,"37,6",FABIO HOLANDA,"15,5",RAIMUNDO CABELUDO,7,JARDSON BRASIL,"1,1",,,,,,,,,,,,,,,,,,,,,,,
MA-05047/2020,https://openroadautogroup.com/inventory?f%5B0%5D=condition%3ANew&f%5B1%5D=make%3APorsche&f%5B2%5D=model%3AMacan,MARACAÇUMÉ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-08101/2020,https://oprogressonet.com/noticia/1692/pesquisa-reafirma-lideranca-e-aponta-crescimento-de-vilson-soares-em-joao-lisboa,JOÃO LISBOA,1,P,1,,,VILSON SOARES,"44,6",FABIO HOLANDA,"17,5",RAIMUNDO CABELUDO,"9,4",JARDSON BRASIL,"1,9",,,,,,,,,,,,,,,,,,,,,,,
MA-06938/2020,https://oquartopoder.com/politica/eleicoes-2020/nova-pesquisa-eudes-barros-continua-a-liderar-na-raposa-com-354-das-intencoes-de-votos/,RAPOSA,1,P,0,,,ANDREA DA COLONIA,"12,3",EUDES BARROS,"28,6",OCILEIA FERNANDES,"17,9",,,,,,,,,,,,,,,,,,,,,,,,,
MA-06938/2020,https://oquartopoder.com/politica/eleicoes-2020/nova-pesquisa-eudes-barros-continua-a-liderar-na-raposa-com-354-das-intencoes-de-votos/,RAPOSA,1,P,1,,,ANDREA DA COLONIA,"16,5",EUDES BARROS,"35,4",OCILEIA FERNANDES,"26,8",PADRE ANTONIO ABENCOADO,"1,5",,,,,,,,,,,,,,,,,,,,,,,
MA-08409/2020,https://gilbertoleda.com.br/2020/10/09/escutec-o-estado-mostra-vitoria-de-aurelio-da-farmacia-em-pio-xii/,PIO XII,1,P,0,,,AURELIO DA FARMACIA,33,CARLOS DO BINE,27,LUCILENE VELOSO,18,,,,,,,,,,,,,,,,,,,,,,,,,
MA-08409/2020,https://gilbertoleda.com.br/2020/10/09/escutec-o-estado-mostra-vitoria-de-aurelio-da-farmacia-em-pio-xii/,PIO XII,1,P,1,,,AURELIO DA FARMACIA,35,CARLOS DO BINE,28,LUCILENE VELOSO,21,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02136/2020,https://www.portaldebalsas.com.br/noticias/625-pesquisa-aponta-vitoria-de-eduardo-braide-no-primeiro-turno-com-554,SÃO LUÍS,1,P,,,,EDUARDO BRAIDE,"45,2",DUARTE,"13,8",NETO EVANGELISTA,"9,7",BIRA,"4,9",RUBENS JUNIOR,"2,7",JEISAEL,"1,8",MADEIRA,"1,7",,,,,,,,,,,,,,,,,
MA-03412/2020,https://www.nonatoaguiar.com.br/2020/10/escuteco-estado-mostra-vitoria-de.html,SÃO LUÍS,1,P,0,,,EDUARDO BRAIDE,23,DUARTE JUNIOR,10,NETO EVANGELISTA,6,BIRA DO PANDARE,2,RUBENS JUNIOR,2,JEISAEL,1,CARLOS MADEIRA,1,,,,,,,,,,,,,,,,,
MA-03412/2020,https://www.blogdojorgearagao.com.br/2020/10/08/escutec-tambem-confirma-vitoria-de-braide-no-1o-turno/,SÃO LUÍS,1,P,1,,,EDUARDO BRAIDE,42,DUARTE JUNIOR,15,NETO EVANGELISTA,11,RUBENS JUNIOR,4,BIRA DO PANDARE,4,JEISAEL,2,YGLESIO MOYSES,2,CARLOS MADEIRA,2,,,,,,,,,,,,,,,
MA-07399/2020,https://jornalpequeno.blog.br/manoelsantos/2020/10/07/rubens-jr-com-apoio-de-lula-vai-para-o-segundo-turno-em-sao-luis-revela-pesquisa/,SÃO LUÍS,1,P,,,,EDUARDO BRAIDE,"39,8",RUBENS JUNIOR,"16,2",DUARTE JUNIOR,"10,3",NETO EVANGELISTA,"9,2",BIRA DO PANDARE,"4,1",SILVIO ANTONIO,4,JEISAEL MARX,"1,1",CARLOS MADEIRA,"2,1",,,,,,,,,,,,,,,
MA-09163/2020,https://folhadomaranhao.com/2020/10/05/sao-luis-registra-baixa-no-numero-de-registro-de-pesquisas-eleitorais-em-2020/,SÃO LUÍS,1,P,1,,,EDUARDO BRAIDE,"44,4",DUARTE JUNIOR,"8,5",NETO EVANGELISTA,"8,5",RUBENS JUNIOR,"7,1",BIRA DO PANDARE,"3,8",JEISAEL,"3,4",YGLESIO MOYSES,"1,4",,,,,,,,,,,,,,,,,
MA-07437/2020,https://gilbertoleda.com.br/2020/10/02/timon-justica-suspende-divulgacao-de-pesquisa-eleitoral-com-suspeita-de-fraude/,TIMON,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-09592/2020,https://gilbertoleda.com.br/2020/10/09/justica-eleitoral-suspende-nova-pesquisa-com-suspeita-de-fraude-em-timon/,TIMON,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-06260/2020,http://blogdopautar.com.br/9815-2/,SANTA INÊS,1,P,1,,,CABRAL,"45,31",FELIPE DOS PNEUS,,"34,38",RIBAMAR ALVES,"4,02",PADRE NELCINHO,"2,9",CREUSA,"1,12",,,,,,,,,,,,,,,,,,,,
MA-07649/2020,https://www.blogdaangra.com.br/noticia/3028/pesquisa-mostra-que-dr-cassio-lidera-intencoes-de-voto-em-estreito,ESTREITO,1,P,0,,,DR CASSIO,"28,4",LEO CUNHA,"19,7",JACKSON P,"4,2",BRUNO FLORENTINO,"1,7",,,,,,,,,,,,,,,,,,,,,,,
MA-07649/2020,https://www.blogdaangra.com.br/noticia/3028/pesquisa-mostra-que-dr-cassio-lidera-intencoes-de-voto-em-estreito,ESTREITO,1,P,1,,,DR CASSIO,45,LEO CUNHA,"20,8",JACKSON P,"4,1",BRUNO F,"3,7",,,,,,,,,,,,,,,,,,,,,,,
MG-02556/2020,https://minaseleicoes2010.blogspot.com/2020/10/pesquisa-datatempoquaest-aponta-kalil.html,BELO HORIZONTE,1,P,1,,,KALIL,53,JOAO VITOR XAVIER,5,BRUNO ENGLER,3,AUREA CAROLINA,2,WENDEL MESQUITA,2,RODRIGO PAIVA,1,CABO XAVIER,1,NILMARIO MIRANDA,1,LUISA BARRETO,1,LAFAYETTE ANDRADA,1,MARILIA DOMINGUES,1,WADSON RIBEIRO,1,,,,,,,
MG-02556/2020,https://minaseleicoes2010.blogspot.com/2020/10/pesquisa-datatempoquaest-aponta-kalil.html,BELO HORIZONTE,1,P,0,,,KALIL,38,JOAO VITOR XAVIER,2,BRUNO ENGLER,2,WENDEL MESQUITA,1,NILMARIO MIRANDA,1,AUREA CAROLINA,1,,,,,,,,,,,,,,,,,,,
MG-09103/2020,https://www.otempo.com.br/hotsites/eleicoes-2020/eleicoes-em-betim-vittorio-lidera-com-54-aponta-datatempo-quaest-1.2395575,BETIM,1,P,0,,,VITTORIO MEDIOLI,44,MARIA DO CARMO,4,JUNIO ARAUJO,1,DR XAROPINHO,1,DR VINICIUS,1,,,,,,,,,,,,,,,,,,,,,
MG-09103/2020,https://www.otempo.com.br/hotsites/eleicoes-2020/eleicoes-em-betim-vittorio-lidera-com-54-aponta-datatempo-quaest-1.2395575,BETIM,1,P,1,,,VITTORIO MEDIOLI,54,MARIA DO CARMO,11,DR VINICIUS,6,DR XAROPINHO,2,JUNIO ARAUJO,1,ZULU,1,,,,,,,,,,,,,,,,,,,
MG-09207/2020,https://www.gazetadacidade.com/destaque-principal/divulgada-a-primeira-pesquisa-da-regiao-para-candidatos-a-prefeito/,BOM REPOUSO,1,p,1,,,EDMILSON,"74,59",DELMO,"25,41",,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-03182/2020,https://www.otempo.com.br/hotsites/eleicoes-2020/datatempo-quaest-marilia-campos-lidera-com-40-em-contagem-1.2395098,CONTAGEM,1,P,0,,,MARILIA CAMPOS,19,WELLINGTON SILVEIRA,1,PROFESSOR IRINEU,1,LINDOMAR GOMES,1,IVAYR SOALHEIRO,1,FELIPE SALIBA,1,DOUTOR WELLINGTON,1,CORONEL FIUZA,1,ALFREDO,1,,,,,,,,,,,,,
MG-03182/2020,https://www.otempo.com.br/hotsites/eleicoes-2020/datatempo-quaest-marilia-campos-lidera-com-40-em-contagem-1.2395098,CONTAGEM,1,P,1,,,MARILIA CAMPOS,40,DOUTOR WELLINGTON,4,CORONEL FIUZA,3,WELLINGTON SILVEIRA,2,ALFREDO,2,IVAYR SOALHEIRO,2,PROFESSOR IRINEU,2,FELIPE SALIBA,1,KAKA MENEZES,1,LINDOMAR GOMES,1,MARIA LUCIA GUEDES,1,,,,,,,,,
MG-00771/2020,"https://www.em.com.br/app/noticia/politica/2020/10/09/interna_politica,1193007/gleidson-azevedo-e-tolentino-tem-empate-tecnico-pesquisa-divinopolis.shtml",DIVINÓPOLIS,1,P,0,,,GLEIDSON AZEVEDO,"19,03",FABIANO TOLENTINO,"17,36",GALILEU,"6,01",SARGENTO ELTON,2,MARQUINHO CLEMENTINO,"1,5",PROFESSORA MARIA HELENA,"1,17",,,,,,,,,,,,,,,,,,,
MG-00771/2020,"https://www.em.com.br/app/noticia/politica/2020/10/09/interna_politica,1193007/gleidson-azevedo-e-tolentino-tem-empate-tecnico-pesquisa-divinopolis.shtml",DIVINÓPOLIS,1,P,1,,,GLEIDSON AZEVEDO,"21,04",TOLENTINO,"19,03",GALILEU,"6,34",SARGENTO ELTON,"3,67",MARQUINHO CLEMENTINO,2,PROFESSORA MARIA HELENA,"1,67",,,,,,,,,,,,,,,,,,,
MG-02328/2020,https://www.tudoemdia.com/2020/10/07/pesquisa-verita-aponta-gabriela-cesquim-e-juninho-da-jr-tecnicamente-empatados-em-ituiutaba/,ITUIUTABA,1,P,,,,GABRIELA CESQUIM,"27,1",JUNINHO DA JR,"23,9",CRISTINA GARVIL,"14,7",LEANDRA,"5,8",TENENTE MARCO ANTONIO,4,LUIZ MANOEL,"1,6",,,,,,,,,,,,,,,,,,,
MG-02358/2020,"https://www.em.com.br/app/noticia/politica/2020/10/09/interna_politica,1192977/pesquisa-eleitoral-revela-lideranca-de-jussara-ex-prefeita-em-lavras.shtml",LAVRAS,1,P,0,,,JUSSARA MENICUCCI,"27,23",DAMINA PEREIRA,"24,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-02358/2020,"https://www.em.com.br/app/noticia/politica/2020/10/09/interna_politica,1192977/pesquisa-eleitoral-revela-lideranca-de-jussara-ex-prefeita-em-lavras.shtml",LAVRAS,1,P,1,,,JUSSARA MENICUCCI,"31,76",DAMINA PEREIRA,"25,88",LINDOMAR DE SOUSA,"8,07",PROFESSOR VOLPATO,"2,69",DEHON TRATORES,"2,18",,,,,,,,,,,,,,,,,,,,,
MG-02442/2020,"https://www.em.com.br/app/noticia/politica/2020/10/12/interna_politica,1193357/para-de-minas-ex-prefeito-abre-vantagem-sobre-chefe-do-executivo.shtml",PARÁ DE MINAS,1,P,0,,,ANTONIO JULIO,"31,76",ELIAS DINIZ,"7,06",MARCONE DA AABB,"7,06",DOUTOR PAULO CESAR,"3,53",CARLIN LULA,"1,85",GERALDINHO,"1,85",,,,,,,,,,,,,,,,,,,
MG-07838/2020,https://gazetamachadense.com.br/2020/10/08/vereador-lidera-disputa-eleitoral-em-machado/,MACHADO,1,P,1,,,MAYCON WILLIAN,"32,31",MELAO,"16,5",ADRIANA LEMOS,"12,76",ANA GONÇALVES,"9,01",,,,,,,,,,,,,,,,,,,,,,,
MG-02037/2020,https://www.facebook.com/portalnlnoticias/posts/1912648855543209,NOVA LIMA,1,P,0,,,WESLEY DE JESUS,13,CARLINHOS RODRIGUES,10,JOAO MARCELO DIEGUEZ,9,DR JUAREZ,6,FLAVIO DE ALMEIDA,2,JOBERT JOBAO,1,,,,,,,,,,,,,,,,,,,
MG-02037/2020,https://anoticianovalima.com.br/2020/10/08/nova-pesquisa-da-datatempo-quaest-aponta-wesley-de-jesus-na-lideranca/,NOVA LIMA,1,P,1,,,WESLEY DE JESUS,22,CARLINHOS RODRIGUES,16,JOAO MARCELO DIEGUEZ,13,DR JUAREZ,11,SOLDADO FLAVIO,6,JOBERT JOBAO,1,SERGIO AMERICANO,1,,,,,,,,,,,,,,,,,
MG-02442/2020,"https://www.em.com.br/app/noticia/politica/2020/10/12/interna_politica,1193357/para-de-minas-ex-prefeito-abre-vantagem-sobre-chefe-do-executivo.shtml",PARÁ DE MINAS,1,P,1,,,ANTONIO JULIO,"34,29",ELIAS DINIZ,"8,4",MARCONE DA AABB,"7,39",DOUTOR PAULO CESAR,"4,2",GERALDINHO CUICA,"2,35",CARLIN LULA,"1,68",,,,,,,,,,,,,,,,,,,
MG-08569/2020,https://www.facebook.com/EliteNewsPassos/posts/3478905955480871,PASSOS,1,P,,,,RODRIGO MAIA,"16,6",ALEXANDRE MAIA,"12,7",ANDRE PATTI,"1,5",DIEGO OLIVEIRA,1,DR AQUILES,1,,,,,,,,,,,,,,,,,,,,,
MG-01975/2020,https://noticias.r7.com/eleicoes-2020/christiano-xavier-lidera-pesquisa-pela-prefeitura-de-santa-luzia-mg-08102020,SANTA LUZIA,1,P,,,,CHRISTIANO XAVIER,40,DENILSON MARTINS,13,BISPO DAMASCENO,6,ABRAAO SOARES DIAS,4,JOSE RAIMUNDO DELGADO,3,CESAR LARA DINIZ,2,VALDIVINO FERREIRA,2,,,,,,,,,,,,,,,,,
MG-00596/2020,https://www.facebook.com/ismaelcarvalho/posts/3457700967679728,UBERLÂNDIA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-03524/2020,https://www.facebook.com/ismaelcarvalho/posts/3457700967679728,UBERLÂNDIA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-03700/2020,https://noticias.r7.com/eleicoes-2020/ilce-rocha-lidera-pesquisa-para-reeleicao-em-vespasiano-mg-06102020,VESPASIANO,1,P,1,,,ILCE,31,CARLOS MURTA,20,LUCIANO COSTA,15,GERALDO MAGELA,3,EDINALDO,1,TOTI,1,,,,,,,,,,,,,,,,,,,
MS-01150/2020,https://cenarioms.com/noticia/pesquisa-aponta-dennis-thomazini-com-21-pontos-a-frente-de-akira-otsubo,BATAGUASSU,1,P,1,,,DENNIS THOMAZINI,"51,25",AKIRA OTSUBO,"29,75",,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00246/2020,https://manoelafonso.com.br/politica/marquinhos-lidera-pesquisa-na-capital/,CAMPO GRANDE,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00246/2020,https://manoelafonso.com.br/politica/marquinhos-lidera-pesquisa-na-capital/,CAMPO GRANDE,1,P,1,,,MARQUINHOS TRAD,"51,33",MARCIO FERNANDES,"8,25",SERGIO HARFOUCHE,"6,33",DAGOBERTO NOGUEIRA,"3,08",PEDRO KEMP,3,VINICIUS SIQUEIRA,"2,17",CRIS DUARTE,"2,08",MARCELO BLUMA,1,,,,,,,,,,,,,,,
MS-00246/2020,https://manoelafonso.com.br/politica/marquinhos-lidera-pesquisa-na-capital/,CAMPO GRANDE,1,P,0,,,MARQUINHOS TRAD,"30,08",ROSE MODESTO,"3,25",ANDRE PUCCINELLI,3,MARCIO FERNANDES,"2,75",SERGIO HARFOUCHE,"2,5",DAGOBERTO NOGUEIRA,"1,83",PEDRO KEMP,"1,75",LOESTER TRUTIS,"1,67",CRIS DUARTE,"1,25",,,,,,,,,,,,,
MS-08002/2020,https://oestadoonline.com.br/2020/10/08/prefeito-de-jardim-possui-42-de-intencoes-de-votos/,JARDIM,1,P,1,,,GUILHERME MONTEIRO,"42,25",DOUTOR ERNEY,18,DOUTORA CLEDIANE,"9,5",PASTOR DANIEL,7,JAIME ECHEVERRIA,5,DANIEL LEMOS,"1,25",,,,,,,,,,,,,,,,,,,
MS-06451/2020,https://www.noticidade.com/noticia/maracaju-ms/pesquisa-marcos-calderan-e-lenilso-carvalho-estao-praticamente-empatados-diz-ranking,MARACAJU,1,P,0,,,LENILSO CARVALHO,17,MARCOS CALDERAN,"16,5",PROFESSOR JEAMILTON,"9,75",THIAGO CAMINHA,"1,5",,,,,,,,,,,,,,,,,,,,,,,
MS-06451/2020,https://www.jd1noticias.com/politica/pesquisa-ranking-mostra-quadro-em-maracaju/80723/,MARACAJU,1,P,1,,,LENILSO CARVALHO,31,MARCOS CALDERAN,"30,75",PROFESSOR JEAMILTON,"13,25",THIAGO CAMINHA,3,AMAURI MAZZUCATO,1,,,,,,,,,,,,,,,,,,,,,
MS-01288/2020,https://www.portaldoms.com.br/ler.php?id=4563,NAVIRAÍ,1,P,1,,,ONEVAN DE MATOS,"42,22",BRUNO,"20,17",IZAURI,"8,09",TELMA MINARI,"3,74",,,,,,,,,,,,,,,,,,,,,,,
MS-05672/2020,https://www.agorams.com.br/pesquisa-aponta-doutor-lucio-na-lideranca-folgada-em-bataguassu/,SANTA RITA DO PARDO,1,P,1,,,DR LUCIO,"66,01",JUMAR ALVES,"24,42",,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-04740/2020,https://www.facebook.com/1001forasteiros/posts/3586501671425889,SONORA,1,P,1,,,ENELTO,"67,3",CLARICE,"22,7",JOAO CAVALCANTE,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,
MT-06484/2020,http://www.cidadenewsonline.com.br/e_10022__politica/id-927926/apiacas__chaveta__pp__lidera_com_49_50__das_intencoes_de_voto__diz_pesquisa,APIACÁS,1,P,1,,,CHAVETA,"49,5",JULIO DA PAPELARIA,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-02634/2020,https://blogdomauro.com.br/para-ler/noticiario/franca-lidera-corrida-ao-alencastro-emanuel-e-abilio-empatados-na-segunda-posicao/75882,CUIABÁ,1,P,1,,,ROBERTO FRANÇA,"20,3",EMANUEL,"16,1",ABILIO BRUNINI,"15,6",GISELA SIMONA,"7,8",JULIER,"1,8",,,,,,,,,,,,,,,,,,,,,
MT-02634/2020,https://blogdomauro.com.br/para-ler/noticiario/franca-lidera-corrida-ao-alencastro-emanuel-e-abilio-empatados-na-segunda-posicao/75882,CUIABÁ,1,P,0,,,ROBERTO FRANÇA,"10,3",ABILIO,"9,6",EMANUEL PINHEIRO,"8,3",GISELA SIMONA,"3,6",,,,,,,,,,,,,,,,,,,,,,,
MT-09402/2020,https://www.folhamax.com/politica/emanuel-lidera-com-39-6-em-cuiaba-franca-e-abilio-sobem/276391,CUIABÁ,1,P,0,,,EMANUEL PINHEIRO,"29,6",ABILIO JUNIOR,"9,7",ROBERTO FRANÇA,"7,7",GISELA SIMONA,"1,6",,,,,,,,,,,,,,,,,,,,,,,
MT-09402/2020,https://www.folhamax.com/politica/emanuel-lidera-com-39-6-em-cuiaba-franca-e-abilio-sobem/276391,CUIABÁ,1,P,1,,,EMANUEL PINHEIRO,"39,6",ROBERTO FRANÇA,"16,9",ABILIO JUNIOR,"13,5",GISELA SIMONA,"4,9",,,,,,,,,,,,,,,,,,,,,,,
MT-03951/2020,https://www.unicanews.com.br/politica-mt/pesquisa-mostra-kalil-baracat-com-maior-intencao-de-votos-em-varzea-grande/55276,VÁRZEA GRANDE,1,P,,,,KALIL BARACAT,"27,8",EMANUELZINHO,"21,5",FLAVIO FRICAL,"12,4",,,,,,,,,,,,,,,,,,,,,,,,,
PA-06762/2020,https://iccomunicacoes.com/com-538-macarrao-consolida-lideranca-em-tailandia-aponta-pesquisa-doxa/2020/,TAILÂNDIA,1,P,1,,,MACARRAO,"53,8",ALEMAO DA CERAMICA,"24,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-06762/2020,https://iccomunicacoes.com/com-538-macarrao-consolida-lideranca-em-tailandia-aponta-pesquisa-doxa/2020/,TAILÂNDIA,1,P,0,,,MACARRAO,"47,6",ALEMAO DA CERAMICA,"20,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-01064/2020,https://m.diarioonline.com.br/noticias/para/609315/edmilson-rodrigues-e-priante-lideram-pesquisa-para-prefeitura-de-belem,BELÉM,1,P,1,,,EDMILSON RODRIGUES,"39,5",JOSE PRIANTE,"10,1",VAVA MARTINS,"6,4",MARIO COUTO,"4,6",DELEGADO FEDERAL EGUCHI,"4,2",CASSIO ANDRADE,"3,7",,,,,,,,,,,,,,,,,,,
PA-01064/2020,https://m.diarioonline.com.br/noticias/para/609315/edmilson-rodrigues-e-priante-lideram-pesquisa-para-prefeitura-de-belem,BELÉM,1,P,0,,,EDMILSON RODRIGUES,"19,4",JOSE PRIANTE,"4,2",VAVA MARTINS,"2,2",MARIO COUTO,2,DELEGADO FEDERAL EGUCHI,"2,5",CASSIO ANDRADE,1,,,,,,,,,,,,,,,,,,,
PA-03099/2020,https://saviobarbosa.com.br/nova-pesquisa-eleitoral-mostra-edmilson-e-priante-liderando-na-disputa-pela-prefeitura-de-belem/,BELÉM,1,P,1,,,EDMILSON RODRIGUES,"35,1",PRIANTE,"12,3",CASSIO ANDRADE,"5,8",VAVA MARTINS,"5,4",MARIO COUTO,"4,1",THIAGO ARAUJO,"3,8",DELEGADO EGUCHI,"2,4",GUSTAVO SEFER,"1,3",,,,,,,,,,,,,,,
PA-03366/2020,https://www.romanews.com.br/eleicoes/pesquisa-doxa-coloca-edmilson-priante-e-thiago-araujo-na-frente-da-di/94742/,BELÉM,1,P,1,,,EDMILSON RODRIGUES,"37,2",PRIANTE,"8,6",THIAGO ARAUJO,"6,5",VAVA MARTINS,"6,1",CASSIO ANDRADE,"5,4",MARIO COUTO,"3,8",DELEGADO EGUCHI,"3,7",GUSTAVO SEFER,"2,2",DR JERONIMO,"1,9",CLEBER RABELO,"1,1",,,,,,,,,,,
PA-03366/2020,https://www.romanews.com.br/eleicoes/pesquisa-doxa-coloca-edmilson-priante-e-thiago-araujo-na-frente-da-di/94742/,BELÉM,1,P,0,,,EDMILSON RODRIGUES,"19,2",PRIANTE,"3,5",THIAGO ARAUJO,"2,1",VAVA MARTINS,"1,8",CASSIO ANDRADE,"1,8",MARIO COUTO,"1,7",DELEGADO EGUCHI,1,,,,,,,,,,,,,,,,,
PA-02128/2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/912689/Birmingham_Priory_Court.pdf,CASTANHAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-07273/2020,https://bacana.news/eleicoes-2020-segundo-a-ultima-pesquisa-em-igarape-miri-pina-dispara-na-frente-para-prefeito/,IGARAPÉ-MIRI,1,P,0,,,PINA,"26,9",ANTONIEL MIRANDA,"11,2",TONINHO PESO PESADO,6,DARINHO,"5,4",,,,,,,,,,,,,,,,,,,,,,,
PA-07273/2020,https://bacana.news/eleicoes-2020-segundo-a-ultima-pesquisa-em-igarape-miri-pina-dispara-na-frente-para-prefeito/,IGARAPÉ-MIRI,1,P,1,,,PINA,"42,6",ANTONIEL MIRANDA,"20,3",DARINHO,"12,2",TONINHO PESO PESADO,11,,,,,,,,,,,,,,,,,,,,,,,
PA-02098/2020,http://blogdojoaocarlos.com.br/coisas-da-politica-prefeito-2/,MARABÁ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-07921/2020,https://blogdojoaocarlos.com.br/coisas-da-politica-prefeito-2/,MARABÁ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-01290/2020,https://www.facebook.com/curtadiaenoiteporai/posts/3563916400336698,NOVA TIMBOTEUA,1,P,,,,SOCORRINHA,"63,5",KATIA MELO,"21,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-03767/2020,https://carajasojornal.com.br/cidades/sul-e-suldeste/item/19595-redencao-pesquisa-diz-que-mario-moreira-seria-eleito-prefeito-com-48-70-dos-votos.html,REDENÇÃO,1,P,1,,,MARIO MOREIRA,"48,7",WILLIAM DO POTENCIA,"20,3",MARCELO BORGES,"14,7",AFFIF JAWABREY,"2,7",,,,,,,,,,,,,,,,,,,,,,,
PA-01078/2020,https://correiodecarajas.com.br/curionopolis-mariana-chamon-lidera-para-prefeita-com-4341/,CURIONÓPOLIS,1,P,0,,,MARIANA CHAMON,"39,51",ADONEI,"18,54",VALDEIR,"16,59",VER. GILDAZIO,"1,95",,,,,,,,,,,,,,,,,,,,,,,
PB-07138/2020,https://heroncid.maispb.com.br/2020/10/10/na-regiao-de-campina-prefeito-abre-25-pontos-de-maioria-contra-adversario/,SANTA CECÍLIA,1,P,0,,,BETO DE CHICO,"54,8",MARCILIO FARIAS,"27,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-07138/2020,https://heroncid.maispb.com.br/2020/10/10/na-regiao-de-campina-prefeito-abre-25-pontos-de-maioria-contra-adversario/,SANTA CECÍLIA,1,P,1,,,BETO DE CHICO,"56,4",MARCILIO FARIAS,"31,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
